PRODUCT (Click to open in Browser),PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,MARKET TYPE NAME,SYMBOL CODE
Katy Oasis Physical Basis LD1,15685,XU4,XU4,,,Natural Gas,KTYO MOPhysGas,NGXC,IEPA,Physical Gas,XU4
Katy Oasis Physical Fixed Price Monthly,15691,XU3,XU3,,,Natural Gas,KTYO MOPhysGas,NGXC,IEPA,Physical Gas,XU3
Katy Oasis Physical Fixed Price Spot,15689,XU2,XU2,,,Natural Gas,KTYO SPPhysGas,NGXC,IEPA,Physical Gas,XU2
Katy Oasis Physical Gas Daily Monthly,15688,XU6,XU6,,,Natural Gas,KTYO MOPhysGas,NGXC,IEPA,Physical Gas,XU6
Katy Oasis Physical Gas Daily Spot,15686,XU5,XU5,,,Natural Gas,KTYO SPPhysGas,NGXC,IEPA,Physical Gas,XU5
Katy Oasis Physical Inside FERC,19391,YFM,YFM,,,Natural Gas,KTYOK MOPhysGas,NGXC,IEPA,Physical Gas,YFM
Katy Swing Future,19249,KTS,KTS,BL,,Natural Gas,East TX Swing,ICEU,IFED,Financial Gas,KTS
Kaz Minerals PLC,8617,KZK,KZK,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,KA
Kern Delivered Swing Future,23586,KSS,KSS,N<,,Natural Gas,Southwest Swing,ICEU,IFED,Financial Gas,KSS
Kingfisher PLC,8675,KGF,KGF,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,KGF
Koninklijke Ahold Delhaize N.V.,21897,AHQ,AHQ,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,AHQ
"LPG (BLPG) FFA Middle East Gulf to East 44,000Mts (Baltic) Average Price Option",27622,WAT,WAT,:A,,Wet Freight,O-LPG (BLPG),ICEU,IFEU,Wet Freight,WAT
"LPG (BLPG) FFA Middle East Gulf to East 44,000Mts (Baltic) Balmo Future",20126,WAV,WAV,J-,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,WAV
"LPG (BLPG) FFA Middle East Gulf to East 44,000Mts (Baltic) Future",15989,WAT,WAT,:A,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,WAT
LPG (BLPG3) FFA Houston to Chiba (Baltic) Future,25770,WFA,WFA,,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,WFA
Land Securities Group PLC,8887,LS,LS,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,LS
Legal And General Group PLC,8822,LGE,LGE,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,LGE
Leidy-Transco Physical Basis LD1,21027,YQJ,YQJ,,,Natural Gas,LdyTr MOPhysGas,NGXC,IEPA,Physical Gas,YQJ
Leidy-Transco Physical Fixed Price Spot,21020,YQE,YQE,,,Natural Gas,LdyTr SPPhysGas,NGXC,IEPA,Physical Gas,YQE
Leidy-Transco Physical Gas Daily Monthly,21025,YQH,YQH,,,Natural Gas,LdyTr MOPhysGas,NGXC,IEPA,Physical Gas,YQH
Leidy-Transco Physical Gas Daily Spot,21023,YQG,YQG,,,Natural Gas,LdyTr SPPhysGas,NGXC,IEPA,Physical Gas,YQG
Leidy-Transco Physical Inside FERC,21026,YQI,YQI,?C,,Natural Gas,LdyTr MOPhysGas,NGXC,IEPA,Physical Gas,YQI
Leidy-Transco Physical Price Monthly,21022,YQF,YQF,,,Natural Gas,LdyTr MOPhysGas,NGXC,IEPA,Physical Gas,YQF
Lloyds Banking Group PLC,10364,TSB,TSB,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,TSB
London Cocoa 1-Month Calendar Spread Option,23801,C1,C1,L1,,Cocoa,O-Cocoa UK,ICEU,IFLX,Liffe Commodities,C1
London Cocoa 2-Month Calendar Spread Option,23802,C2,C2,L2,,Cocoa,O-Cocoa UK,ICEU,IFLX,Liffe Commodities,C2
London Cocoa Options,15254,C,CCO,LA,,Cocoa,O-Cocoa UK,ICEU,IFLX,Liffe Commodities,C
London Stock Exchange Group PLC,8882,LSE,LSE,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,LSE
Long BTP Future,6445,I10,I10,,,Medium/Long Term Interest Rates,ITA Bond Fut,ICEU,IFLL,Liffe Bonds,I10
Long Bund Future,6439,G10,G10,,,Medium/Long Term Interest Rates,DEU Bond Fut,ICEU,IFLL,Liffe Bonds,G10
Long Spanish Government Bond Future,6449,S10,S10,,,Medium/Long Term Interest Rates,ESP Bond Fut,ICEU,IFLL,Liffe Bonds,S10
Long Swiss Confederation Bond Future,6436,C10,C10,,,Medium/Long Term Interest Rates,CHE Bond Fut,ICEU,IFLL,Liffe Bonds,C10
Low Sulphur Gasoil 1-Month Calendar Spread Options,4837,UUM,UUM,UM,,Crude Oil and Refined Products,O-Ref Outright mt,ICEU,IFEU,Oil,UUM
Low Sulphur Gasoil 1st Line Future,3432,ULA,ULS,V),,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,ULA
Low Sulphur Gasoil Average Price Options,4830,ULA,ULS,V),,Crude Oil and Refined Products,O-Ref Outright mt,ICEU,IFEU,Oil,ULA
Low Sulphur Gasoil Bullet Future,3563,UUB,UUB,WP,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,UUB
"Low Sulphur Gasoil, American-Style Options",5819,G,ULS,GL,,Crude Oil and Refined Products,O-IPE e-Gas Oil,ICEU,IFEU,IPE Gas Oil Futures,G
M&G PLC,23977,MNG,MNG,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,MG2
M-RETS Registered Renewable Energy Certificate from CRS Listed™ Wind Energy Facilities Back Half Specific Future,26903,NGI,NGI,,,Physical Environmental,REC-M-RETS,ICEU,IFED,Physical Environmental,NGI
M-RETS Registered Renewable Energy Certificate from CRS Listed™ Wind Energy Facilities Front Half Specific Future,26904,NGH,NGH,,,Physical Environmental,REC-M-RETS,ICEU,IFED,Physical Environmental,NGH
M42 (IHS McCloskey) Coal Futures,23367,M42,M42,LL,,Coal,Indo Sub-Bit,ICEU,IFEU,FOB Indo sub-bit Coal Futures,M42
MISO AMIL.BGS6 Day-Ahead Off-Peak Daily Fixed Price Future,20088,MAB,MAB,JE,,Electricity,Pwr E OPDayMini,ICEU,IFED,Financial Power,MAB
MISO AMIL.BGS6 Day-Ahead Off-peak Fixed Price Future,18457,BGB,BGB,6W,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,BGB
MISO AMIL.BGS6 Day-Ahead Peak Daily Fixed Price Future,20087,MAA,MAA,JD,,Electricity,Pwr E DailyMini,ICEU,IFED,Financial Power,MAA
MISO AMIL.BGS6 Day-Ahead Peak Fixed Price Future,18456,BGA,BGA,6V,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,BGA
MISO Arkansas Hub Day-Ahead Off-Peak Daily Fixed Price Future,15560,MRE,MRE,(@,,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,MRE
MISO Arkansas Hub Day-Ahead Off-Peak Fixed Price Future,5765,ALO,ALO,56,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,ALO
MISO Arkansas Hub Day-Ahead Peak Daily Fixed Price Future,15559,MRD,MRD,(#,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,MRD
MISO Arkansas Hub Day-Ahead Peak Fixed Price Future,5764,ALP,ALP,55,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,ALP
MISO Illinois Hub Day-Ahead Off-Peak Fixed Price Future,2854,MLD,MLD,-/,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,MLD
MISO Illinois Hub Day-Ahead Peak Fixed Price Future,2851,MLB,MLB,-;,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,MLB
MISO Indiana Hub Day-Ahead Off-Peak Daily Fixed Price Future,1617,MOD,MOD,YF,QM63,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,MOD
MISO Indiana Hub Day-Ahead Off-Peak Fixed Price Future,1861,MCD,MCD,AD,SM91,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,MCD
MISO Indiana Hub Day-Ahead Peak Daily Fixed Price Future,1613,MDA,MDA,YB,QM59,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,MDA
MISO Indiana Hub Real-Time Off-Peak Daily Fixed Price Future,554,IOP,IOP,QD,NO12,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,IOP
MISO Indiana Hub Real-Time Off-Peak Fixed Price Future,376,CPO,CPO,OV,NH34,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,CPO
MISO Indiana Hub Real-Time Peak Daily Fixed Price Future,411,IDP,IDP,IP,L780,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,IDP
MISO Indiana Hub Real-Time Peak Daily Look Back Fixed Price Future ,3966,IDO,IDP,Q\,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,IDO
MISO Louisiana Hub Day-Ahead Off-Peak Daily Fixed Price Future,15558,MLR,MLR,*A,,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,MLR
MISO Louisiana Hub Day-Ahead Off-Peak Fixed Price Future,5767,LFO,LFO,58,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,LFO
MISO Louisiana Hub Day-Ahead Peak Daily Fixed Price Future,15557,MLQ,MLQ,(=,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,MLQ
MISO Louisiana Hub Day-Ahead Peak Fixed Price Future,5766,LFP,LFP,57,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,LFP
MISO Michigan Hub Day-Ahead Off-Peak Daily Fixed Price Future,20084,MIM,MIM,JC,,Electricity,Pwr E OPDayMini,ICEU,IFED,Financial Power,MIM
MISO Michigan Hub Day-Ahead Off-Peak Fixed Price Future,5759,MGQ,MGQ,5X,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,MGQ
MISO Michigan Hub Day-Ahead Peak Daily Fixed Price Future,20083,MIL,MIL,I=,,Electricity,Pwr E DailyMini,ICEU,IFED,Financial Power,MIL
MISO Michigan Hub Day-Ahead Peak Fixed Price Future,5758,MGP,MGP,5W,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,MGP
MISO Minnesota Hub Day-Ahead Off-Peak Daily Fixed Price Future,20086,MDQ,MDQ,I:,,Electricity,Pwr E OPDayMini,ICEU,IFED,Financial Power,MDQ
MISO Minnesota Hub Day-Ahead Off-Peak Fixed Price Future,5757,MDO,MDO,5V,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,MDO
MISO Minnesota Hub Day-Ahead Peak Daily Fixed Price Future,20085,MDN,MDN,I0,,Electricity,Pwr E DailyMini,ICEU,IFED,Financial Power,MDN
MISO Minnesota Hub Day-Ahead Peak Fixed Price Future,5756,MDP,MDP,5U,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,MDP
MISO Texas Hub Day-Ahead Off-Peak Daily Fixed Price Future,15877,MDS,MDS,?P,,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,MDS
MISO Texas Hub Day-Ahead Off-Peak Fixed Price Future,5761,TDQ,TDQ,5Z,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,TDQ
MISO Texas Hub Day-Ahead Peak Daily Fixed Price Future,15876,MDR,MDR,?O,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,MDR
MISO Texas Hub Day-Ahead Peak Fixed Price Future,5760,TDP,TDP,5Y,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,TDP
MISO Texas Hub Real-Time Off-Peak Fixed Price Future,5763,TPO,TPO,54,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,TPO
MISO Texas Hub Real-Time Peak Fixed Price Future,5762,TPP,TPP,51,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,TPP
MSCI AC Asia ex Japan NTR  Index Future,23351,ASI,ASI,AG,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,ASI
MSCI All Country Asia Pacific ex Japan NTR Index Future,15366,MAK,MAK,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MAK
MSCI All Country Asia ex Japan NTR Index Future,15380,MCR,MCR,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCR
MSCI All Country Far East ex Japan NTR Index Future,15367,MCA,MCA,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCA
MSCI All Country World Ex-US Net Total Return (NTR) Index Future,5583,AWN,AWN,B-,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,AWN
MSCI Australia NTR Index Future,25783,AS7,AS7,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,AS7
MSCI BRIC  NTR Index Future,15369,MCC,MCC,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCC
MSCI Canada GTR  Index Future,23348,CAD,CAD,AF,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,CAD
MSCI Canada Index Future,5568,MCL,MCL,CL,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MCL
MSCI Chile NTR Index Future,24652,CHI,CHI,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,CHI
MSCI China NTR Index Future,26463,CHH,CHH,,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,CHH
MSCI China Tech DR and P-Chip NTR Index Future,25780,CHT,CHT,,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,CHT
MSCI Colombia NTR Index Future,24655,CO9,CO9,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,CO9
MSCI EAFE ESG Leaders NTR Index Future,23943,LFG,LFG,AJ,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,LFG
MSCI EAFE Net Total Return (NTR) Index Future,5572,MFU,MFU,FM,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MFU
MSCI EM Climate Paris Aligned NTR Index Future,26858,MVU,MVU,,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MVU
MSCI EMU Communication Services Net Return EUR Index Future,23395,EMO,EMO,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMO
MSCI EMU Consumer Discretionary Net Return EUR Index  Future,23399,EMY,EMY,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMY
MSCI EMU Consumer Staples Net Return EUR Index Future,23398,EMS,EMS,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMS
MSCI EMU Energy Net Return EUR Index Future,23396,EMN,EMN,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMN
MSCI EMU Financials Net Return EUR Index Future,23391,EMF,EMF,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMF
MSCI EMU Health Care Net Return EUR Index Future,23397,EMH,EMH,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMH
MSCI EMU Industrials Net Return EUR Index Future,23392,EMI,EMI,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMI
MSCI EMU Information Technology Net Return EUR Index Future,23393,EMT,EMT,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMT
MSCI EMU Materials Net Return EUR Index Future,23401,EMM,EMM,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMM
MSCI EMU NTR Index Future,18432,MSB,MSB,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MSB
MSCI EMU Real Estate Net Return EUR Index Future,23400,EMR,EMR,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMR
MSCI EMU Utilities Net Return EUR Index Future,23394,EMU,EMU,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EMU
MSCI Emerging Market Net Total Return (NTR) Index Future,15379,MCQ,MCQ,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCQ
MSCI Emerging Market ex China NTR Index Future,25813,MMC,MMC,,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MMC
MSCI Emerging Markets EMEA NTR Index Future,20059,MMM,MMM,AY,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MMM
MSCI Emerging Markets ESG Leaders NTR Index Future,23945,LFM,LFM,AK,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,LFM
MSCI Emerging Markets Equal Weighted NTR USD  Index Future,15363,EWM,EWM,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EWM
MSCI Emerging Markets LatAm NTR Index Future,20060,MML,MML,AZ,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MML
MSCI Emerging Markets Latin America Index Future,5574,MLE,MLE,LE,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MLE
MSCI Emerging Markets Minimum Volatility NTR USD  Index Future,15410,MVM,MVM,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MVM
MSCI Emerging Markets NTR (EUR) Index Future,20058,MMR,MMR,AX,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MMR
MSCI Emerging Markets NTR EUR Index Future,15406,MSM,MSM,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MSM
MSCI Emerging Markets Net Total Return (NTR) Index Future,5576,MMN,MMN,MM,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MMN
MSCI Euro Index Future,5570,MEU,MEU,UM,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MEU
MSCI Europe Climate Change NTR Index Future,25804,EU1,EU1,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,EU1
MSCI Europe Climate Paris Aligned NTR Index Future,26855,MVT,MVT,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MVT
MSCI Europe Communication Services NTR EUR  Index Future,15394,ME8,ME8,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME8
MSCI Europe Consumer Discretionary NTR EUR  Index Future,15386,ME0,ME0,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME0
MSCI Europe Consumer Staples NTR EUR  Index Future,15387,ME1,ME1,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME1
MSCI Europe ESG Leaders NTR Index Future,23941,LFU,LFU,AI,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,LFU
MSCI Europe Energy NTR EUR  Index Future,15388,ME2,ME2,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME2
MSCI Europe Equal Weighted NTR EUR  Index Future,15362,EWE,EWE,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EWE
MSCI Europe Financials NTR EUR Index Future,15389,ME3,ME3,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME3
MSCI Europe Growth Index Future,5573,MGE,MGE,MG,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MGE
MSCI Europe Health Care NTR EUR  Index Future,15390,ME4,ME4,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME4
MSCI Europe IT NTR EUR  Index Future,15392,ME6,ME6,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME6
MSCI Europe Index Future,5567,MCE,MCE,MC,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MCE
MSCI Europe Industrials NTR EUR  Index Future,15391,ME5,ME5,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME5
MSCI Europe Materials NTR EUR  Index Future,15393,ME7,ME7,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME7
MSCI Europe Minimum Volatility NTR EUR  Index Future,15409,MVE,MVE,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MVE
MSCI Europe NTR  Index Future,15374,MCJ,MCJ,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCJ
MSCI Europe NTR Index Future (EUR),26867,MVV,MVV,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MVV
MSCI Europe NTR Index Future (USD),23342,EU9,EU9,AD,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,EU9
MSCI Europe Net Total Return (NTR) Index Future,15524,MPE,MPE,,,MSCI Indices,MSCI Fut UNRSTD,ICEU,IFLL,Liffe Index Futures - Non-US Restricted,MPE
MSCI Europe Real Estate NTR EUR  Index Future,19276,MF0,MF0,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MF0
MSCI Europe Utilities NTR EUR  Index Future,15395,ME9,ME9,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,ME9
MSCI Europe Value Index Future,5578,MPU,MPU,MV,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MPU
MSCI Europe ex UK NTR  Index Future,15399,MKE,MKE,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MKE
MSCI France NTR EUR  Index Future,15396,MFR,MFR,P/,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MFR
MSCI Germany NTR Index Future,26469,GEA,GEA,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,GEA
MSCI Hong Kong NTR  Index Future,15376,MCM,MCM,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCM
MSCI Hong Kong NTR Index Future,25795,HKX,HKX,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,HKX
MSCI India NTR  Index Future,15398,MII,MII,,,MSCI Indices,MSCI Fut UNRSTD,ICEU,IFLL,Liffe Index Futures - Non-US Restricted,MII
MSCI India NTR Index Future,20063,MIN,MIN,BC,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MIN
MSCI Indonesia NTR Index Future,24708,INH,INH,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,INH
MSCI Italy NTR Index Future,26472,ITH,ITH,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,ITH
MSCI Japan ESG Select Leaders GTR Index Future,25087,JSL,JSL,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,JSL
MSCI Japan NTR  Index Future,15378,MCO,MCO,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCO
MSCI Japan NTR Index Future,25081,JPP,JPP,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,JPP
MSCI KOKUSAI GTR  Index Future,15401,MKO,MKO,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MKO
MSCI KOKUSAI GTR Index Future,25810,KKS,KKS,,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,KKS
MSCI KOKUSAI NTR JPY  Index Future,15400,MKI,MKI,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MKI
MSCI KOKUSAI USD NTR  Index Future,15375,MCK,MCK,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCK
MSCI Malaysia NTR Index Future,25786,MYY,MYY,,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MYY
MSCI Mexico NTR  Index Future,15372,MCH,MCH,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MCH
MSCI New Zealand NTR Index Future,24714,NEW,NEW,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,NEW
MSCI North America NTR Index Future,23336,NAA,NAA,AB,,MSCI Indices,MSCI USA,ICUS,IFUS,IFUS Equity Indices,NAA
MSCI Pacific NTR Index Future,23333,MPA,MPA,AA,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MPA
MSCI Pacific ex Japan NTR  Index Future,15403,MPJ,MPJ,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MPJ
MSCI Pacific ex Japan NTR Index Future,23354,PAC,PAC,AH,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,PAC
MSCI Pan-Euro Index Future,5577,MPP,MPP,PM,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MPP
MSCI Peru NTR Index Future,24658,MPU,MPU,MV,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MPU
MSCI Philippines NTR (USD) Index Future,24717,MPH,MPH,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MPH
MSCI South Africa NTR USD Index Future,15404,MSA,MSA,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MSA
MSCI Switzerland Index CHF NTR  Index Future,18438,MSH,MSH,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MSH
MSCI Taiwan NTR USD  Index Future,19598,MST,MST,,,MSCI Indices,MSCI Fut UNRSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,MST
MSCI Thailand NTR Index Future,25792,THG,THG,,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,THG
MSCI UK NTR USD Index Future,24646,UKU,UKU,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,UKU
MSCI USA Climate Change NTR Index Future,24346,MUC,MUC,,,MSCI Indices,MSCI USA,ICUS,IFUS,IFUS Equity Indices,MUC
MSCI USA Climate Paris Aligned GTR Index Future,26852,MVS,MVS,,,MSCI Indices,MSCI USA,ICUS,IFUS,IFUS Equity Indices,MVS
MSCI USA ESG Leaders GTR Index Future,23949,LFA,LFA,AM,,MSCI Indices,MSCI USA,ICUS,IFUS,IFUS Equity Indices,LFA
MSCI USA Equal Weighted NTR USD  Index Future,15364,EWS,EWS,,,MSCI Indices,MSCI Fut RSTD,ICEU,IFLL,Liffe Index Futures - US Restricted,EWS
